,link,nombrePrep,descPrep,temaPrep
64,http://www.histomap.ar/histoteca/Raton_Joven_Tricromico.htm,Ratón neonato (corte sagital),Tricrómico de Masson,"Embrión, placenta y anexos"
65,http://www.histomap.ar/histoteca/Rinion_HE.htm,Riñón,Hematoxilina y Eosina,Sistema urinario
66,http://www.histomap.ar/histoteca/Sangre_MGG.htm,Sangre,May-Grünwald Giemsa,Sangre y médula ósea
67,http://www.histomap.ar/histoteca/Tendon_HE.htm,Tendón,Hematoxilina y Eosina,Sistema osteomuscular
68,http://www.histomap.ar/histoteca/Testiculo_HE.htm,Testículo,Hematoxilina y Eosina,Sistema genital masculino
69,http://www.histomap.ar/histoteca/Timo_HE.htm,Timo,Hematoxilina y Eosina,Sistema inmune
70,http://www.histomap.ar/histoteca/Tiroides_HE.htm,Tiroides,Hematoxilina y Eosina,Sistema endocrino
71,http://www.histomap.ar/histoteca/Tiroides_Timo_HE.htm,Tiroides y timo,Hematoxilina y Eosina,Sistema endocrino
72,http://www.histomap.ar/histoteca/Traquea_HE.htm,Tráquea,Hematoxilina y Eosina,Sistema respiratorio
73,http://www.histomap.ar/histoteca/Trompa_uterina_HE.htm,Trompa uterina,Hematoxilina y Eosina,Sistema genital femenino
74,http://www.histomap.ar/histoteca/Ureter_HE.htm,Uréter,Hematoxilina y Eosina,Sistema urinario
75,http://www.histomap.ar/histoteca/Utero_proliferativa_HE.htm,Útero (fase proliferativa),Hematoxilina y Eosina,Sistema genital femenino
76,http://www.histomap.ar/histoteca/Utero_secretora_HE.htm,Útero (fase secretora),Hematoxilina y Eosina,Sistema genital femenino
77,http://www.histomap.ar/histoteca/Vejiga_HE.htm,Vejiga,Hematoxilina y Eosina,Sistema urinario
78,http://www.histomap.ar/histoteca/Vesicula_biliar_HE.htm,Vesícula biliar,Hematoxilina y Eosina,Sistema digestivo
79,http://www.histomap.ar/histoteca/Vesicula_biliar_Higado_HE.htm,Vesícula biliar e hígado,Hematoxilina y Eosina,Sistema digestivo
80,http://www.histomap.ar/histoteca/Vesicula_seminal_HE.htm,Vesícula seminal,Hematoxilina y Eosina,Sistema genital masculino
